date,latitude,longitude,mag,depth,place
1910-08-07,37.8,30.0,5.5,28.7,HACIHIDIRLAR-KARACASU (AYDIN) [North East  2.9 km]
1911-04-30,36.0,180.0,6.1,30.0,KALE A�IKLARI-ANTALYA (AKDENIZ)
1912-03-18,41.6,16.0,4.2,44.3,G�RCISTAN
1912-06-07,41.4,19.0,4.9,44.0,G�RCISTAN
1912-08-09,40.6,16.0,7.3,27.2,ERIKLICE-SARKOY (TEKIRDAG) [South East  4.3 km]
1912-08-10,40.6,15.0,5.5,27.1,SARKOY (TEKIRDAG) [South West  2.0 km]
1912-08-10,40.6,15.0,6.3,27.1,SARKOY (TEKIRDAG) [South West  2.0 km]
1912-08-11,40.6,30.0,5.3,27.2,ERIKLICE-SARKOY (TEKIRDAG) [South East  4.3 km]
1912-08-11,40.6,15.0,4.6,27.1,SARKOY (TEKIRDAG) [South West  2.0 km]
1912-09-16,40.1,30.0,5.2,26.8,KOCALAR- (�ANAKKALE) [North East  4.3 km]
1912-10-12,41.4,28.0,5.7,43.7,G�RCISTAN
1912-10-13,41.5,30.0,5.3,44.0,G�RCISTAN
1912-10-21,40.5,15.0,4.9,27.0,MARMARA DENIZI
1912-10-21,40.5,15.0,4.7,27.0,MARMARA DENIZI
1913-01-27,38.38,10.0,5.5,42.23,YOLAGZI- (BITLIS) [North West  0.5 km]
1913-04-20,41.91,10.0,6.1,44.32,G�RCISTAN
1914-02-08,37.8,7.0,4.3,27.0,KUSADASI K�RFEZI (EGE DENIZI)
1914-03-22,40.0,15.0,4.7,26.0,�VECIK A�IKLARI-�ANAKKALE (EGE DENIZI)
1914-05-28,39.84,10.0,5.5,35.8,ALTILI-AKDAGMADENI (YOZGAT) [North East  2.0 km]
1914-10-03,38.0,15.0,4.9,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-03,37.7,14.0,6.9,30.4,HALICILAR- (BURDUR) [South 0.7 km]
1914-10-04,38.0,15.0,4.7,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-04,38.01,15.0,5.3,38.24,CELIKHAN (ADIYAMAN) [South 2.6 km]
1914-10-04,38.0,15.0,4.9,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-04,38.0,15.0,4.4,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-04,38.0,15.0,4.4,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-04,38.0,15.0,5.3,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-04,38.0,15.0,4.9,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-04,38.0,15.0,4.9,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-05,38.0,15.0,4.8,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-06,38.0,15.0,4.8,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-08,38.0,15.0,4.9,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-10,38.0,15.0,4.8,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-11,38.0,15.0,5.4,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-10-13,38.0,15.0,4.7,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
