No,deprem_kodu,olus_tarihi,olus_zamani,enlem,boylam,derinlik,xM,MD,ML,Mw,Ms,Mb,Tip,Yer
16417,1.90009E+13,1900.09.20,00:01.0,37.8,29.1,5,5,5,0,,0,0,Ke,DENIZLI (DENIZLI) [North East  2.3 km]
16416,1.90102E+13,1901.02.23,00:00.0,37.9,27.9,15,4.8,4.7,4.6,4.8,4.6,4.7,Ke,KENGER- (AYDIN) [North East  1.1 km]
16415,1.90103E+13,1901.03.01,00:01.0,38.2,27.7,5,5,5,0,,0,0,Ke,YAKACIK-BAYINDIR (IZMIR) [South West  0.8 km]
16414,1.90104E+13,1901.04.01,00:01.0,38.4,31.4,5,5,5,0,,0,0,Ke,ATAKENT-AKSEHIR (KONYA) [North East  2.4 km]
16413,1.90105E+13,1901.05.01,00:01.0,37.8,27.8,15,5,5,0,,0,0,Ke,KADIKOY- (AYDIN) [South West  2.6 km]
16412,1.90105E+13,1901.05.12,32:00.0,39.8,30.5,15,5.3,5,4.9,5.3,5,5,Ke,TEPEBASI (ESKISEHIR) [North East  1.9 km]
16411,1.90304E+13,1903.04.04,00:00.0,39,28,20,5.6,5.4,5.3,5.6,5.5,5.4,Ke,PEKMEZCI-AKHISAR (MANISA) [West 3.0 km]
16410,1.90304E+13,1903.04.28,46:00.0,39.1,42.5,30,6.3,6,6,6.2,6.3,5.9,Ke,HASRETPINAR-MALAZGIRT (MUS) [East 4.3 km]
16409,1.90305E+13,1903.05.03,00:00.0,38.7,41.5,30,5.2,4.9,4.9,5.2,4.9,4.9,Ke,SOGUCAK- (MUS) [South West  3.1 km]
16408,1.90305E+13,1903.05.28,54:03.2,40.9,42.8,16,5.5,5.3,5.3,5.5,5.4,5.3,Ke,MOLLAHASAN-GOLE (ARDAHAN) [North West  1.4 km]
16407,1.90307E+13,1903.07.06,00:01.0,37.8,32.5,5,4.4,4.4,0,,0,0,Ke,KONYA [South 7.2 km]
16406,1.90307E+13,1903.07.08,43:00.0,41.4,44.5,30,5.2,4.9,4.9,5.2,4.9,4.9,Ke,AZERBAYCAN
16405,1.90307E+13,1903.07.09,21:00.3,41.1,44.4,22,4.7,4.6,4.6,4.7,4.5,4.6,Ke,AZERBAYCAN
16404,1.90307E+13,1903.07.19,07:05.4,35,30,20,5.8,5.5,5.5,5.8,5.7,5.5,Ke,AKDENIZ
16403,1.90401E+13,1904.01.01,38:00.0,37.8,29.1,20,4.9,4.8,4.8,4.9,4.8,4.9,Ke,DENIZLI (DENIZLI) [North East  2.3 km]
16402,1.90402E+13,1904.02.16,45:00.0,40.3,38.4,30,5.3,5,5,5.3,5.1,5.1,Ke,BAYHASAN-SEBINKARAHISAR (GIRESUN) [South East  1.9 km]
16401,1.90405E+13,1904.05.19,02:00.0,38.4,27.2,20,5.5,5.3,5.3,5.5,5.4,5.3,Ke,BUCA (IZMIR) [North East  2.5 km]
16400,1.90408E+13,1904.08.11,08:00.0,37.7,26.9,6,6.2,5.9,5.9,6.1,6.2,5.9,Ke,SISAM ADASI (EGE DENIZI)
16399,1.90408E+13,1904.08.15,12:00.0,37.4,26.6,5,4.7,4.6,4.6,4.7,4.5,4.6,Ke,ONIKI ADALAR (AKDENIZ)
16398,1.90408E+13,1904.08.18,07:00.0,38,27,30,6,5.8,5.7,6,6,5.7,Ke,KUSADASI K�RFEZI (EGE DENIZI)
16397,1.9041E+13,1904.10.10,40:00.0,38.4,27.2,20,5.8,5.6,5.6,5.8,5.8,5.6,Ke,BUCA (IZMIR) [North East  2.5 km]
16396,1.9041E+13,1904.10.22,00:00.0,38,27,30,4.8,4.7,4.6,4.8,4.6,4.7,Ke,KUSADASI K�RFEZI (EGE DENIZI)
16395,1.90501E+13,1905.01.11,32:00.0,39.6,27.9,15,5.3,5,4.9,5.3,5,5,Ke,CAYIRHISAR- (BALIKESIR) [South 1.7 km]
16394,1.90504E+13,1905.04.15,36:00.0,40.2,29,6,5.7,5.4,5.4,5.7,5.6,5.4,Ke,NILUFER (BURSA) [South East  2.4 km]
16393,1.90504E+13,1905.04.30,13:00.0,39.8,30.5,22,5.5,5.3,5.3,5.5,5.4,5.3,Ke,TEPEBASI (ESKISEHIR) [North East  1.9 km]
16392,1.90505E+13,1905.05.01,00:01.0,39.9,31.1,5,4.9,4.9,0,,0,0,Ke,AGACHISAR-ALPU (ESKISEHIR) [South West  4.6 km]
16391,1.9051E+13,1905.10.22,42:00.0,41,31,27,5.4,5.1,5.1,5.4,5.2,5.1,Ke,ESMAHANIM-AKCAKOCA (DUZCE) [North East  1.4 km]
16388,1.90512E+13,1905.12.04,20:00.0,39,39,30,5.7,5.4,5.4,5.7,5.6,5.4,Ke,PAYAMDUZU-CEMISGEZEK (TUNCELI) [North East  2.8 km]
16389,1.90512E+13,1905.12.04,40:00.0,39,39,30,5.8,5.6,5.6,5.8,5.8,5.6,Ke,PAYAMDUZU-CEMISGEZEK (TUNCELI) [North East  2.8 km]
16390,1.90512E+13,1905.12.04,04:00.0,39,39,30,6.8,6.4,6.3,6.5,6.8,6.3,Ke,PAYAMDUZU-CEMISGEZEK (TUNCELI) [North East  2.8 km]
16386,1.90609E+13,1906.09.28,30:05.0,40.6,43.1,9,4.9,4.8,4.8,4.9,4.8,4.9,Ke,KARS (KARS) [South East  0.6 km]
16387,1.90609E+13,1906.09.28,50:00.0,40.5,42.7,30,6.2,5.9,5.9,6.1,6.2,5.9,Ke,KAMISLI-SELIM (KARS) [South East  1.3 km]
16385,1.9061E+13,1906.10.20,08:05.7,41.2,44.3,26,5.4,5.1,5.1,5.4,5.2,5.1,Ke,AZERBAYCAN
16384,1.90612E+13,1906.12.28,00:00.0,40.5,42,30,6,5.8,5.7,6,6,5.7,Ke,TOPRAKKALE-OLTU (ERZURUM) [North 3.5 km]
16383,1.90701E+13,1907.01.22,41:00.0,41,29,12,4.7,4.6,4.6,4.7,4.5,4.6,Ke,KADIKOY (ISTANBUL) [North West  2.2 km]
16382,1.90701E+13,1907.01.29,00:00.0,39.1,42.5,30,5.2,4.9,4.9,5.2,4.9,4.9,Ke,HASRETPINAR-MALAZGIRT (MUS) [East 4.3 km]
16381,1.90703E+13,1907.03.29,00:01.0,38.4,42.1,5,4.9,4.9,0,,0,0,Ke,BITLIS [North West  0.4 km]
16380,1.90703E+13,1907.03.31,14:00.0,39.1,42.5,30,5.4,5.1,5.1,5.4,5.2,5.1,Ke,HASRETPINAR-MALAZGIRT (MUS) [East 4.3 km]
16379,1.90704E+13,1907.04.06,00:00.0,39.3,40.4,30,5.2,4.9,4.9,5.2,4.9,4.9,Ke,ESKIKAVAK-KIGI (BINGOL) [North East  1.2 km]
16378,1.90706E+13,1907.06.03,46:00.0,38.7,41.5,30,5.3,5,4.9,5.3,5,5,Ke,SOGUCAK- (MUS) [South West  3.1 km]
16377,1.90708E+13,1907.08.21,00:00.0,40.7,30.1,15,5.6,5.4,5.3,5.6,5.5,5.4,Ke,SIRINSULHIYE-KARTEPE (KOCAELI) [East 0.3 km]
16376,1.90712E+13,1907.12.01,00:01.0,37.6,34.5,5,6.3,6.3,0,,0,0,Ke,GUNEY-ULUKISLA (NIGDE) [South 3.8 km]
16375,1.90802E+13,1908.02.02,00:01.0,37.5,34.5,5,4.9,4.9,0,,0,0,Ke,EMIRLER-ULUKISLA (NIGDE) [North West  3.1 km]
16374,1.90802E+13,1908.02.17,00:01.0,37.4,35.8,5,6,6,0,,0,0,Ke,ISIKLI-KOZAN (ADANA) [East 0.4 km]
16373,1.90802E+13,1908.02.21,00:01.0,39.9,41.3,5,4.9,4.9,0,,0,0,Ke,PALANDOKEN (ERZURUM) [North East  2.6 km]
16372,1.90803E+13,1908.03.08,00:00.0,37.8,27.8,15,5.3,5,4.9,5.3,5,5,Ke,KADIKOY- (AYDIN) [South West  2.6 km]
16371,1.90804E+13,1908.04.12,00:00.0,38.2,27.7,9,5.5,5.2,5.2,5.5,5.3,5.2,Ke,YAKACIK-BAYINDIR (IZMIR) [South West  0.8 km]
16370,1.90806E+13,1908.06.21,55:00.0,40.6,35.9,30,5.4,5.1,5.1,5.4,5.2,5.1,Ke,SAZKOY- (AMASYA) [South East  1.7 km]
16367,1.90806E+13,1908.06.23,07:00.0,38.4,27.2,38,5.3,5,4.9,5.3,5,5,Ke,BUCA (IZMIR) [North East  2.5 km]
16368,1.90806E+13,1908.06.23,45:00.0,38.4,27.2,25,5.3,5,5,5.3,5.1,5.1,Ke,BUCA (IZMIR) [North East  2.5 km]
16369,1.90806E+13,1908.06.23,16:04.2,38.4,27.2,27,5.4,5.1,5.1,5.4,5.2,5.1,Ke,BUCA (IZMIR) [North East  2.5 km]
16366,1.90809E+13,1908.09.28,28:00.0,38,44,30,6,5.8,5.7,6,6,5.7,Ke,BARIS-BASKALE (VAN) [South East  2.7 km]
16365,1.9081E+13,1908.10.30,30:00.0,37.6,36.8,30,5.5,5.3,5.3,5.5,5.4,5.3,Ke,AFSAR- (KAHRAMANMARAS) [North East  2.4 km]
16364,1.90811E+13,1908.11.16,31:03.6,41.5,26.5,20,4.7,4.6,4.6,4.7,4.5,4.6,Ke,DOYRAN- (EDIRNE) [West 9.0 km]
16363,1.90901E+13,1909.01.19,57:00.0,38,26.5,60,6,5.8,5.7,6,6,5.7,Ke,EGE DENIZI
16361,1.90902E+13,1909.02.09,38:00.0,40,38,30,5.8,5.6,5.6,5.8,5.8,5.6,Ke,SARKOY-SUSEHRI (SIVAS) [South East  2.0 km]
16362,1.90902E+13,1909.02.09,24:00.0,40,38,60,6.3,6,6,6.2,6.3,5.9,Ke,SARKOY-SUSEHRI (SIVAS) [South East  2.0 km]
16360,1.90902E+13,1909.02.10,49:00.0,40,38,30,5.8,5.5,5.5,5.8,5.7,5.5,Ke,SARKOY-SUSEHRI (SIVAS) [South East  2.0 km]
16359,1.90902E+13,1909.02.22,14:00.0,39,37,30,5.8,5.5,5.5,5.8,5.7,5.5,Ke,YARHISAR-KANGAL (SIVAS) [South East  2.8 km]
16358,1.90903E+13,1909.03.05,16:00.0,39,40,30,5.5,5.2,5.2,5.5,5.3,5.2,Ke,HAMZALI-KARAKOCAN (ELAZIG) [North West  0.6 km]
16357,1.9091E+13,1909.10.29,04:04.2,38,27,20,5.5,5.2,5.2,5.5,5.3,5.2,Ke,KUSADASI K�RFEZI (EGE DENIZI)
16356,1.91003E+13,1910.03.08,25:00.0,40.8,44.6,10,4.7,4.6,4.6,4.7,4.5,4.6,Ke,AZERBAYCAN
16355,1.91003E+13,1910.03.20,00:01.0,36.8,34.6,5,4.9,4.9,0,,0,0,Ke,YENISEHIR (MERSIN) [North East  2.1 km]
16354,1.91006E+13,1910.06.25,26:01.0,41,34,5,6.2,6.2,0,,0,0,Ke,ERMELIK-TOSYA (KASTAMONU) [South East  2.3 km]
16353,1.91008E+13,1910.08.07,45:00.0,37.8,28.7,30,5.5,5.2,5.2,5.5,5.3,5.2,Ke,HACIHIDIRLAR-KARACASU (AYDIN) [North East  2.9 km]
16352,1.91104E+13,1911.04.30,42:03.0,36,30,180,6.1,5.8,5.8,6,6.1,5.8,Ke,KALE A�IKLARI-ANTALYA (AKDENIZ)
16351,1.91203E+13,1912.03.18,32:43.0,41.6,44.3,16,4.2,4,4.1,4.2,4.1,4,Ke,G�RCISTAN
16350,1.91206E+13,1912.06.07,17:00.5,41.4,44,19,4.9,4.8,4.8,4.9,4.8,4.9,Ke,G�RCISTAN
16349,1.91208E+13,1912.08.09,29:00.0,40.6,27.2,16,7.3,6.8,6.7,6.9,7.3,6.6,Ke,ERIKLICE-SARKOY (TEKIRDAG) [South East  4.3 km]
16347,1.91208E+13,1912.08.10,30:00.0,40.6,27.1,15,5.5,5.2,5.2,5.5,5.3,5.2,Ke,SARKOY (TEKIRDAG) [South West  2.0 km]
16348,1.91208E+13,1912.08.10,23:00.0,40.6,27.1,15,6.3,6,6,6.2,6.3,5.9,Ke,SARKOY (TEKIRDAG) [South West  2.0 km]
16345,1.91208E+13,1912.08.11,19:04.4,40.6,27.2,30,5.3,5,4.9,5.3,5,5,Ke,ERIKLICE-SARKOY (TEKIRDAG) [South East  4.3 km]
16346,1.91208E+13,1912.08.11,20:00.0,40.6,27.1,15,4.6,4.5,4.5,4.6,4.4,4.6,Ke,SARKOY (TEKIRDAG) [South West  2.0 km]
16344,1.91209E+13,1912.09.16,04:01.8,40.1,26.8,30,5.2,4.9,4.9,5.2,4.9,4.9,Ke,KOCALAR- (�ANAKKALE) [North East  4.3 km]
16343,1.9121E+13,1912.10.12,48:05.7,41.4,43.7,28,5.7,5.4,5.4,5.7,5.6,5.4,Ke,G�RCISTAN
16342,1.9121E+13,1912.10.13,22:05.6,41.5,44,30,5.3,5,4.9,5.3,5,5,Ke,G�RCISTAN
16340,1.9121E+13,1912.10.21,40:00.0,40.5,27,15,4.9,4.8,4.8,4.9,4.8,4.9,Ke,MARMARA DENIZI
16341,1.9121E+13,1912.10.21,31:00.0,40.5,27,15,4.7,4.6,4.6,4.7,4.5,4.6,Ke,MARMARA DENIZI
16339,1.91301E+13,1913.01.27,38:35.6,38.38,42.23,10,5.5,5.3,5.3,5.5,5.4,5.3,Ke,YOLAGZI- (BITLIS) [North West  0.5 km]
16338,1.91304E+13,1913.04.20,13:47.9,41.91,44.32,10,6.1,5.8,5.8,6,6.1,5.8,Ke,G�RCISTAN
16337,1.91402E+13,1914.02.08,00:01.0,37.8,27,7,4.3,4.3,0,,0,0,Ke,KUSADASI K�RFEZI (EGE DENIZI)
16336,1.91403E+13,1914.03.22,57:03.0,40,26,15,4.7,4.6,4.6,4.7,4.5,4.6,Ke,�VECIK A�IKLARI-�ANAKKALE (EGE DENIZI)
16335,1.91405E+13,1914.05.28,27:29.6,39.84,35.8,10,5.5,5.3,5.3,5.5,5.4,5.3,Ke,ALTILI-AKDAGMADENI (YOZGAT) [North East  2.0 km]
16333,1.9141E+13,1914.10.03,23:00.0,38,30,15,4.9,4.7,4.7,4.9,4.7,4.8,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16334,1.9141E+13,1914.10.03,07:02.4,37.7,30.4,14,6.9,6.5,6.4,6.6,6.9,6.4,Ke,HALICILAR- (BURDUR) [South 0.7 km]
16325,1.9141E+13,1914.10.04,28:00.0,38,30,15,4.7,4.6,4.6,4.7,4.5,4.6,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16326,1.9141E+13,1914.10.04,48:57.7,38.01,38.24,15,5.3,5,5,5.3,5.1,5.1,Ke,CELIKHAN (ADIYAMAN) [South 2.6 km]
16327,1.9141E+13,1914.10.04,10:00.0,38,30,15,4.9,4.7,4.7,4.9,4.7,4.8,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16328,1.9141E+13,1914.10.04,50:01.0,38,30,15,4.4,4.4,0,,0,0,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16329,1.9141E+13,1914.10.04,20:01.0,38,30,15,4.4,4.4,0,,0,0,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16330,1.9141E+13,1914.10.04,50:00.0,38,30,15,5.3,5,4.9,5.3,5,5,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16331,1.9141E+13,1914.10.04,07:00.0,38,30,15,4.9,4.7,4.7,4.9,4.7,4.8,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16332,1.9141E+13,1914.10.04,22:00.0,38,30,15,4.9,4.7,4.7,4.9,4.7,4.8,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16324,1.9141E+13,1914.10.05,09:00.0,38,30,15,4.8,4.7,4.6,4.8,4.6,4.7,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16323,1.9141E+13,1914.10.06,30:00.0,38,30,15,4.8,4.7,4.6,4.8,4.6,4.7,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16322,1.9141E+13,1914.10.08,13:00.0,38,30,15,4.9,4.8,4.8,4.9,4.8,4.9,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16321,1.9141E+13,1914.10.10,13:00.0,38,30,15,4.8,4.7,4.6,4.8,4.6,4.7,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16320,1.9141E+13,1914.10.11,45:00.0,38,30,15,5.4,5.1,5.1,5.4,5.2,5.1,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16319,1.9141E+13,1914.10.13,38:00.0,38,30,15,4.7,4.6,4.6,4.7,4.5,4.6,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16318,1.9141E+13,1914.10.17,13:00.0,38,30,15,4.9,4.8,4.8,4.9,4.8,4.9,Ke,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
16317,1.91412E+13,1914.12.03,39:03.2,41,43.9,21,4.3,4.3,0,,0,0,Ke,SUNGUDERESI-AKYAKA (KARS) [North East  23.8 km]
16316,1.91502E+13,1915.02.14,20:00.6,38.8,42.5,30,5.7,5.4,5.4,5.7,5.6,5.4,Ke,CEMALETTIN-AHLAT (BITLIS) [South West  3.7 km]
16315,1.91502E+13,1915.02.28,47:02.4,37.7,43.1,30,5.5,5.2,5.2,5.5,5.3,5.2,Ke,MEZRA-BEYTUSSEBAP (SIRNAK) [North West  9.0 km]
16314,1.91504E+13,1915.04.01,41:05.0,40.5,44.5,35,4.9,4.8,4.8,4.9,4.8,4.9,Ke,AZERBAYCAN
16313,1.91505E+13,1915.05.19,48:02.4,37.62,39.47,10,5.5,5.3,5.3,5.5,5.4,5.3,Ke,CATLI-SIVEREK (SANLIURFA) [South East  3.5 km]
16312,1.91509E+13,1915.09.23,20:01.0,40,43,15,4.4,4.4,0,,0,0,Ke,EVYAPAN-KAGIZMAN (KARS) [South West  5.8 km]
16311,1.91512E+13,1915.12.25,06:09.1,36.47,36.14,10,5.4,5.1,5.1,5.4,5.2,5.1,Ke,GUZELYAYLA-BELEN (HATAY) [South West  2.6 km]
16310,1.91601E+13,1916.01.24,55:15.8,40.27,36.83,10,7.1,6.6,6.6,6.7,7.1,6.5,Ke,TEKNECIK-ALMUS (TOKAT) [South West  0.6 km]
16309,1.91604E+13,1916.04.26,56:01.0,39.2,27,10,4.3,4.3,0,,0,0,Ke,KAPLANKOY-BERGAMA (IZMIR) [South East  5.2 km]
16308,1.91608E+13,1916.08.17,22:00.0,38.2,26.2,10,4.9,4.7,4.7,4.9,4.7,4.8,Ke,�ESME A�IKLARI-IZMIR (EGE DENIZI)
16307,1.9161E+13,1916.10.28,48:00.0,40.1,44.1,20,5.2,4.9,4.9,5.2,4.9,4.9,Ke,KADIKISLAK- (IGDIR) [North 8.4 km]
16306,1.91611E+13,1916.11.14,54:03.4,40.8,44.4,26,5.5,5.2,5.2,5.5,5.3,5.2,Ke,AZERBAYCAN
16305,1.91701E+13,1917.01.04,18:04.4,41.3,44.5,25,4.8,4.7,4.6,4.8,4.6,4.7,Ke,AZERBAYCAN
16304,1.91702E+13,1917.02.20,28:00.0,41.3,44.6,16,4.7,4.6,4.6,4.7,4.5,4.6,Ke,AZERBAYCAN
16303,1.91703E+13,1917.03.10,39:00.0,41.9,36.9,30,5.3,5,4.9,5.3,5,5,Ke,SAMSUN A�IKLARI (KARADENIZ)
16302,1.91704E+13,1917.04.10,40:01.8,40.6,27.1,15,5.5,5.2,5.2,5.5,5.3,5.2,Ke,SARKOY (TEKIRDAG) [South West  2.0 km]
16301,1.91706E+13,1917.06.04,13:03.3,37,26,5,4.7,4.7,0,,0,0,Ke,AKDENIZ
16300,1.91706E+13,1917.06.13,15:45.0,36,28,15,4.8,4.7,4.6,4.8,4.6,4.7,Ke,AKDENIZ
16299,1.91708E+13,1917.08.08,41:10.0,39,27,15,4.7,4.6,4.6,4.7,4.5,4.6,Ke,DEMIRTAS-DIKILI (IZMIR) [East 5.0 km]
16298,1.91712E+13,1917.12.27,42:00.2,40.5,26,10,5.3,5,4.9,5.3,5,5,Ke,SAROS K�RFEZI (EGE DENIZI)
16296,1.91801E+13,1918.01.16,32:06.0,38.8,32.9,10,5.5,5.2,5.2,5.5,5.3,5.2,Ke,DAMLAKUYU-CIHANBEYLI (KONYA) [North West  4.7 km]
16297,1.91801E+13,1918.01.16,13:28.5,38.34,29.48,10,5.8,5.5,5.5,5.8,5.7,5.5,Ke,PASALAR-KARAHALLI (USAK) [South West  0.8 km]
16293,1.91803E+13,1918.03.17,45:05.0,35,27.5,30,5.8,5.5,5.5,5.8,5.7,5.5,Ke,AKDENIZ
16294,1.91803E+13,1918.03.17,12:37.0,35,27.5,30,5.3,5,4.9,5.3,5,5,Ke,AKDENIZ
16295,1.91803E+13,1918.03.17,12:03.7,36,28,15,4.8,4.8,0,,0,0,Ke,AKDENIZ
16292,1.91807E+13,1918.07.16,03:44.5,36.08,26.99,70,6.1,5.8,5.8,6,6.1,5.8,Ke,AKDENIZ
16291,1.91808E+13,1918.08.09,39:10.1,40.89,33.41,10,5.8,5.6,5.6,5.8,5.8,5.6,Ke,SOGUTCUK-ILGAZ (�ANKIRI) [North East  1.1 km]
16290,1.91808E+13,1918.08.29,39:40.6,40.58,35.16,10,5.5,5.2,5.2,5.5,5.3,5.2,Ke,ELVANCELEBI-MECITOZU (�ORUM) [North West  1.4 km]
16289,1.91809E+13,1918.09.23,13:00.2,35.6,26.5,100,5.4,5.1,5.1,5.4,5.2,5.1,Ke,AKDENIZ
16288,1.91809E+13,1918.09.29,07:05.0,35.2,34.7,30,6.5,6.1,6.1,6.3,6.5,6.1,Ke,AKDENIZ
16287,1.91811E+13,1918.11.13,13:27.0,37.8,27.3,35,5.4,5.1,5.1,5.4,5.2,5.1,Ke,SOGUCAK-KUSADASI (AYDIN) [North 1.9 km]
16286,1.91811E+13,1918.11.25,38:48.0,36.4,27.5,10,5.2,4.9,4.9,5.2,4.9,4.9,Ke,ONIKI ADALAR (AKDENIZ)
16285,1.91811E+13,1918.11.28,43:02.0,36.4,27.5,12,4.9,4.8,4.8,4.9,4.8,4.9,Ke,ONIKI ADALAR (AKDENIZ)
16284,1.91811E+13,1918.11.29,57:01.0,36.4,27.5,15,4.3,4.3,0,,0,0,Ke,ONIKI ADALAR (AKDENIZ)
16283,1.91901E+13,1919.01.08,12:53.0,40.9,42.2,40,5.4,5.1,5.1,5.4,5.2,5.1,Ke,EKINLIK-OLUR (ERZURUM) [North West  2.7 km]
16282,1.91904E+13,1919.04.05,17:55.0,36.6,26.7,15,5.4,5.1,5.1,5.4,5.2,5.1,Ke,AKDENIZ
16281,1.91905E+13,1919.05.27,35:15.2,39.13,31.02,10,5.5,5.2,5.2,5.5,5.3,5.2,Ke,GOKCEYAKA-EMIRDAG (AFYONKARAHISAR) [North East  3.0 km]
16279,1.91906E+13,1919.06.09,47:16.8,40.68,33.89,10,5.3,5,4.9,5.3,5,5,Ke,IKIZOREN-YAPRAKLI (�ANKIRI) [South East  1.1 km]
16280,1.91906E+13,1919.06.09,13:50.2,41.16,33.2,10,5.8,5.5,5.5,5.8,5.7,5.5,Ke,OKCULAR-ARAC (KASTAMONU) [South East  1.3 km]
16278,1.91907E+13,1919.07.18,01:20.0,36,28,15,5.4,5.1,5.1,5.4,5.2,5.1,Ke,AKDENIZ
16277,1.91907E+13,1919.07.20,03:50.0,36,28,15,4.9,4.8,4.8,4.9,4.8,4.9,Ke,AKDENIZ
16276,1.91908E+13,1919.08.19,17:20.0,35.2,34.7,30,5.5,5.3,5.3,5.5,5.4,5.3,Ke,AKDENIZ
16275,1.91908E+13,1919.08.24,16:15.0,36,28,15,5.5,5.3,5.3,5.5,5.4,5.3,Ke,AKDENIZ
16274,1.91908E+13,1919.08.29,17:01.0,35.2,34.7,5,5,5,0,,0,0,Ke,AKDENIZ
16273,1.9191E+13,1919.10.13,54:10.0,41.5,28,12,4.7,4.6,4.6,4.7,4.5,4.6,Ke,GUNGORMEZ-SARAY (TEKIRDAG) [North East  1.4 km]
16272,1.91911E+13,1919.11.18,54:50.3,39.26,26.71,10,7,6.5,6.5,6.7,7,6.4,Ke,KUCUKKOY-AYVALIK (BALIKESIR) [South East  3.6 km]
16271,1.92001E+13,1920.01.09,59:00.0,41.8,26.2,20,5.4,5.1,5.1,5.4,5.2,5.1,Ke,BUDAKDOGANCA- (EDIRNE) [North West  12.6 km]
16270,1.92004E+13,1920.04.02,34:25.8,36.75,26.64,10,5.6,5.4,5.3,5.6,5.5,5.4,Ke,AKDENIZ
16269,1.92005E+13,1920.05.01,34:40.0,37,28.7,30,5.3,5,4.9,5.3,5,5,Ke,YESILKOY-KOYCEGIZ (MUGLA) [North West  0.7 km]
16268,1.92007E+13,1920.07.02,13:01.0,37.5,29,15,4.5,4.5,0,,0,0,Ke,MEDET-TAVAS (DENIZLI) [South West  1.7 km]
16266,1.92007E+13,1920.07.04,45:40.0,37.5,29,15,5.4,5.1,5.1,5.4,5.2,5.1,Ke,MEDET-TAVAS (DENIZLI) [South West  1.7 km]
16267,1.92007E+13,1920.07.04,17:58.0,37.5,29,15,5.3,5,4.9,5.3,5,5,Ke,MEDET-TAVAS (DENIZLI) [South West  1.7 km]
16265,1.92009E+13,1920.09.28,17:37.3,37.89,28.35,10,5.8,5.5,5.5,5.8,5.7,5.5,Ke,SEVINDIKLI-NAZILLI (AYDIN) [South West  2.9 km]
16264,1.92011E+13,1920.11.27,26:20.0,39.3,26.5,14,5.2,4.9,4.9,5.2,4.9,4.9,Ke,AYVALIK A�IKLARI-BALIKESIR (EGE DENIZI)
16263,1.92101E+13,1921.01.16,55:55.8,38.33,32.79,10,5.8,5.5,5.5,5.8,5.7,5.5,Ke,AKKOY-ALTINEKIN (KONYA) [South West  2.4 km]
16262,1.92101E+13,1921.01.26,42:01.0,36,28,15,4.3,4.3,0,,0,0,Ke,AKDENIZ
16261,1.92101E+13,1921.01.27,30:09.0,36,28,15,5.5,5.3,5.3,5.5,5.4,5.3,Ke,AKDENIZ
16260,1.92104E+13,1921.04.13,54:05.0,38.4,31.8,30,5.4,5.1,5.1,5.4,5.2,5.1,Ke,TURSUNLU-TUZLUKCU (KONYA) [East 1.2 km]
16259,1.92105E+13,1921.05.22,23:16.0,37,28.7,32,5.3,5,5,5.3,5.1,5.1,Ke,YESILKOY-KOYCEGIZ (MUGLA) [North West  0.7 km]
16258,1.92107E+13,1921.07.24,20:00.0,38.8,26.5,22,5.4,5.1,5.1,5.4,5.2,5.1,Ke,EGE DENIZI
16257,1.92109E+13,1921.09.26,26:10.1,38.42,31.79,10,5.5,5.3,5.3,5.5,5.4,5.3,Ke,TURSUNLU-TUZLUKCU (KONYA) [North 2.3 km]
16256,1.9211E+13,1921.10.05,09:46.0,36.4,35.2,30,5.6,5.4,5.3,5.6,5.5,5.4,Ke,KARATAS A�IKLARI-ADANA (AKDENIZ)
16255,1.92202E+13,1922.02.01,52:44.0,38,37,30,5.5,5.2,5.2,5.5,5.3,5.2,Ke,KABAKTEPE-EKINOZU (KAHRAMANMARAS) [South 3.9 km]
16254,1.92204E+13,1922.04.20,22:30.0,36.4,26.2,150,5.4,5.1,5.1,5.4,5.2,5.1,Ke,AKDENIZ
16253,1.92206E+13,1922.06.03,14:17.3,36.49,28.65,30,5.2,4.9,4.9,5.2,4.9,4.9,Ke,AKDENIZ
16252,1.92206E+13,1922.06.19,39:19.2,40.5,26,10,5.2,4.9,4.9,5.2,4.9,4.9,Ke,SAROS K�RFEZI (EGE DENIZI)
16251,1.92208E+13,1922.08.11,19:41.0,35.36,27.7,10,6.5,6.1,6.1,6.3,6.5,6.1,Ke,AKDENIZ
